2022-08-03 20:41:12,212 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-08-03 20:41:12,230 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-08-03 20:41:12,231 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2022-08-03 20:41:12,232 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2022-08-03 20:41:12,233 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-08-03 20:41:12,233 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-08-03 20:41:12,234 INFO  SwAddin.cs: 201 - Setting up command manager
2022-08-03 20:41:12,234 INFO  SwAddin.cs: 204 - Adding command manager
2022-08-03 20:41:12,236 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-08-03 20:41:12,237 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-08-03 20:41:12,238 INFO  SwAddin.cs: 210 - Adding event handlers
2022-08-03 20:41:12,240 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-08-03 20:41:36,749 INFO  SwAddin.cs: 294 - Assembly export called for file 2dof_leg_module
2022-08-03 20:41:38,695 INFO  SwAddin.cs: 313 - Saving assembly
2022-08-03 20:41:39,198 INFO  SwAddin.cs: 316 - Opening property manager
2022-08-03 20:41:39,214 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 2dof_leg_module
2022-08-03 20:41:39,219 INFO  ExportHelperExtension.cs: 1136 - Found 28 in 2dof_leg_module
2022-08-03 20:41:39,219 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 2dof_leg_module
2022-08-03 20:41:39,220 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-08-03 20:41:39,221 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2022-08-03 20:41:39,221 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from _hip_module-1
2022-08-03 20:41:39,222 INFO  ExportHelperExtension.cs: 1136 - Found 92 in _hip_module-1
2022-08-03 20:41:39,222 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in _hip_module-1
2022-08-03 20:41:39,223 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from _upper_leg_module-1
2022-08-03 20:41:39,223 INFO  ExportHelperExtension.cs: 1136 - Found 92 in _upper_leg_module-1
2022-08-03 20:41:39,224 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in _upper_leg_module-1
2022-08-03 20:41:39,224 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from _lower_leg-1
2022-08-03 20:41:39,225 INFO  ExportHelperExtension.cs: 1136 - Found 32 in _lower_leg-1
2022-08-03 20:41:39,225 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in _lower_leg-1
2022-08-03 20:41:39,225 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 2dof_leg_module
2022-08-03 20:41:39,226 INFO  ExportHelperExtension.cs: 1136 - Found 28 in 2dof_leg_module
2022-08-03 20:41:39,226 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 2dof_leg_module
2022-08-03 20:41:39,226 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-08-03 20:41:39,226 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2022-08-03 20:41:39,227 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from _hip_module-1
